date,hw1_time,hw1_height,hw2_time,hw2_height,time_reference,height_units
2020-01-01,10:01,"3.5 ",22:25,"3.1 ",gmt,m
2020-01-02,10:40,"3.3 ",23:08,"2.9 ",gmt,m
2020-01-03,11:26,"3.1 ",23:59,"2.8 ",gmt,m
2020-01-04,12:20,"3.0 ",,,gmt,m
2020-01-05,01:02,"2.8 ",13:26,"2.9 ",gmt,m
2020-01-06,02:13,"2.9 ",14:40,"3.0 ",gmt,m
2020-01-07,03:22,"3.1 ",15:49,"3.2 ",gmt,m
2020-01-08,04:25,"3.3 ",16:52,"3.4 ",gmt,m
2020-01-09,05:20,"3.6 ",17:47,"3.6 ",gmt,m
2020-01-10,06:12,"3.8 ",18:38,"3.7 ",gmt,m
2020-01-11,07:00,"4.0 ",19:24,"3.8 ",gmt,m
2020-01-12,07:42,"4.1 ",20:08,"3.9 ",gmt,m
2020-01-13,08:25,"4.2 ",20:51,"3.9 ",gmt,m
2020-01-14,09:07,"4.2 ",21:33,"3.8 ",gmt,m
2020-01-15,09:49,"4.1 ",22:15,"3.7 ",gmt,m
2020-01-16,10:31,"3.9 ",22:59,"3.5 ",gmt,m
2020-01-17,11:17,"3.7 ",23:49,"3.3 ",gmt,m
2020-01-18,12:11,"3.4 ",,,gmt,m
2020-01-19,00:51,"3.1 ",13:19,"3.2 ",gmt,m
2020-01-20,02:04,"3.0 ",14:38,"3.1 ",gmt,m
2020-01-21,03:20,"3.1 ",15:52,"3.2 ",gmt,m
2020-01-22,04:27,"3.4 ",16:56,"3.4 ",gmt,m
2020-01-23,05:24,"3.6 ",17:50,"3.5 ",gmt,m
2020-01-24,06:13,"3.8 ",18:37,"3.6 ",gmt,m
2020-01-25,06:55,"3.9 ",19:17,"3.7 ",gmt,m
2020-01-26,07:32,"4.0 ",19:52,"3.7 ",gmt,m
2020-01-27,08:05,"3.9 ",20:24,"3.6 ",gmt,m
2020-01-28,08:38,"3.9 ",20:56,"3.5 ",gmt,m
2020-01-29,09:09,"3.7 ",21:28,"3.4 ",gmt,m
2020-01-30,09:41,"3.6 ",21:59,"3.2 ",gmt,m
2020-01-31,10:14,"3.4 ",22:33,"3.1 ",gmt,m
2020-02-01,10:47,"3.2 ",23:10,"2.9 ",gmt,m
2020-02-02,11:28,"3.0 ",23:59,"2.8 ",gmt,m
2020-02-03,12:22,"2.8 ",,,gmt,m
2020-02-04,01:01,"2.8 ",13:32,"2.8 ",gmt,m
2020-02-05,02:21,"2.9 ",15:01,"2.9 ",gmt,m
2020-02-06,03:43,"3.1 ",16:21,"3.1 ",gmt,m
2020-02-07,04:52,"3.4 ",17:25,"3.4 ",gmt,m
2020-02-08,05:49,"3.8 ",18:20,"3.7 ",gmt,m
2020-02-09,06:41,"4.0 ",19:11,"3.9 ",gmt,m
2020-02-10,07:29,"4.2 ",19:57,"4.0 ",gmt,m
2020-02-11,08:14,"4.4 ",20:39,"4.1 ",gmt,m
2020-02-12,08:57,"4.4 ",21:20,"4.1 ",gmt,m
2020-02-13,09:37,"4.3 ",21:59,"3.9 ",gmt,m
2020-02-14,10:16,"4.1 ",22:38,"3.7 ",gmt,m
2020-02-15,10:56,"3.7 ",23:19,"3.4 ",gmt,m
2020-02-16,11:41,"3.3 ",,,gmt,m
2020-02-17,00:12,"3.0 ",12:46,"2.9 ",gmt,m
2020-02-18,01:27,"2.8 ",14:10,"2.8 ",gmt,m
2020-02-19,02:52,"2.9 ",15:33,"2.8 ",gmt,m
2020-02-20,04:06,"3.1 ",16:42,"3.1 ",gmt,m
2020-02-21,05:05,"3.4 ",17:35,"3.3 ",gmt,m
2020-02-22,05:53,"3.7 ",18:20,"3.5 ",gmt,m
2020-02-23,06:36,"3.8 ",19:00,"3.6 ",gmt,m
2020-02-24,07:14,"3.9 ",19:33,"3.7 ",gmt,m
2020-02-25,07:46,"3.9 ",20:04,"3.7 ",gmt,m
2020-02-26,08:18,"3.9 ",20:35,"3.6 ",gmt,m
2020-02-27,08:48,"3.8 ",21:03,"3.5 ",gmt,m
2020-02-28,09:18,"3.6 ",21:31,"3.4 ",gmt,m
2020-02-29,09:44,"3.4 ",21:58,"3.2 ",gmt,m
2020-03-01,10:10,"3.2 ",22:26,"3.1 ",gmt,m
2020-03-02,10:44,"3.0 ",23:09,"2.9 ",gmt,m
2020-03-03,11:37,"2.8 ",,,gmt,m
2020-03-04,00:11,"2.7 ",12:48,"2.7 ",gmt,m
2020-03-05,01:29,"2.8 ",14:21,"2.7 ",gmt,m
2020-03-06,03:06,"3.0 ",15:56,"3.0 ",gmt,m
2020-03-07,04:24,"3.4 ",17:03,"3.4 ",gmt,m
2020-03-08,05:25,"3.8 ",18:00,"3.7 ",gmt,m
2020-03-09,06:19,"4.1 ",18:52,"4.0 ",gmt,m
2020-03-10,07:10,"4.3 ",19:38,"4.2 ",gmt,m
2020-03-11,07:56,"4.5 ",20:20,"4.2 ",gmt,m
2020-03-12,08:39,"4.5 ",21:00,"4.2 ",gmt,m
2020-03-13,09:19,"4.3 ",21:39,"4.1 ",gmt,m
2020-03-14,09:57,"4.1 ",22:14,"3.8 ",gmt,m
2020-03-15,10:34,"3.7 ",22:48,"3.4 ",gmt,m
2020-03-16,11:14,"3.2 ",23:30,"3.0 ",gmt,m
2020-03-17,12:13,"2.8 ",,,gmt,m
2020-03-18,00:48,"2.7 ",13:48,"2.5 ",gmt,m
2020-03-19,02:25,"2.7 ",15:13,"2.6 ",gmt,m
2020-03-20,03:41,"3.0 ",16:22,"2.9 ",gmt,m
2020-03-21,04:41,"3.3 ",17:14,"3.2 ",gmt,m
2020-03-22,05:29,"3.6 ",17:57,"3.5 ",gmt,m
2020-03-23,06:10,"3.8 ",18:35,"3.6 ",gmt,m
2020-03-24,06:49,"3.9 ",19:09,"3.7 ",gmt,m
2020-03-25,07:22,"3.9 ",19:39,"3.8 ",gmt,m
2020-03-26,07:54,"3.9 ",20:09,"3.7 ",gmt,m
2020-03-27,08:24,"3.8 ",20:37,"3.7 ",gmt,m
2020-03-28,08:52,"3.6 ",21:02,"3.5 ",gmt,m
2020-03-29,10:17,"3.5 ",22:26,"3.4 ",bst,m
2020-03-30,10:41,"3.2 ",22:54,"3.2 ",bst,m
2020-03-31,11:18,"3.0 ",23:38,"3.0 ",bst,m
2020-04-01,12:12,"2.8 ",00:40,"2.8 ",bst,m
2020-04-02,13:23,"2.6 ",,,bst,m
2020-04-03,01:58,"2.8 ",14:56,"2.7 ",bst,m
2020-04-04,03:34,"3.1 ",16:33,"3.1 ",bst,m
2020-04-05,04:55,"3.4 ",17:39,"3.4 ",bst,m
2020-04-06,05:58,"3.8 ",18:35,"3.8 ",bst,m
2020-04-07,06:53,"4.1 ",19:26,"4.1 ",bst,m
2020-04-08,07:46,"4.3 ",20:15,"4.2 ",bst,m
2020-04-09,08:34,"4.4 ",20:58,"4.3 ",bst,m
2020-04-10,09:18,"4.4 ",21:38,"4.2 ",bst,m
2020-04-11,09:59,"4.2 ",22:15,"4.1 ",bst,m
2020-04-12,10:37,"3.9 ",22:48,"3.8 ",bst,m
2020-04-13,11:13,"3.5 ",23:19,"3.5 ",bst,m
2020-04-14,11:49,"3.1 ",23:55,"3.1 ",bst,m
2020-04-15,12:42,"2.7 ",00:55,"2.8 ",bst,m
2020-04-16,14:24,"2.5 ",,,bst,m
2020-04-17,02:51,"2.7 ",15:45,"2.6 ",bst,m
2020-04-18,04:07,"2.9 ",16:49,"2.9 ",bst,m
2020-04-19,05:06,"3.2 ",17:40,"3.2 ",bst,m
2020-04-20,05:55,"3.4 ",18:24,"3.4 ",bst,m
2020-04-21,06:37,"3.6 ",19:03,"3.6 ",bst,m
2020-04-22,07:17,"3.8 ",19:39,"3.7 ",bst,m
2020-04-23,07:56,"3.8 ",20:13,"3.8 ",bst,m
2020-04-24,08:29,"3.8 ",20:43,"3.8 ",bst,m
2020-04-25,09:00,"3.7 ",21:12,"3.7 ",bst,m
2020-04-26,09:29,"3.6 ",21:38,"3.6 ",bst,m
2020-04-27,09:56,"3.5 ",22:04,"3.5 ",bst,m
2020-04-28,10:26,"3.3 ",22:38,"3.4 ",bst,m
2020-04-29,11:07,"3.0 ",23:24,"3.2 ",bst,m
2020-04-30,12:01,"2.8 ",00:23,"3.0 ",bst,m
2020-05-01,13:09,"2.7 ",,,bst,m
2020-05-02,01:36,"3.0 ",14:36,"2.8 ",bst,m
2020-05-03,03:04,"3.2 ",16:03,"3.1 ",bst,m
2020-05-04,04:24,"3.5 ",17:09,"3.5 ",bst,m
2020-05-05,05:28,"3.8 ",18:06,"3.8 ",bst,m
2020-05-06,06:26,"4.1 ",18:59,"4.0 ",bst,m
2020-05-07,07:20,"4.2 ",19:49,"4.2 ",bst,m
2020-05-08,08:11,"4.2 ",20:34,"4.2 ",bst,m
2020-05-09,08:56,"4.2 ",21:14,"4.2 ",bst,m
2020-05-10,09:39,"4.0 ",21:52,"4.0 ",bst,m
2020-05-11,10:18,"3.7 ",22:25,"3.8 ",bst,m
2020-05-12,10:55,"3.4 ",22:57,"3.5 ",bst,m
2020-05-13,11:31,"3.0 ",23:31,"3.2 ",bst,m
2020-05-14,12:18,"2.7 ",00:19,"2.9 ",bst,m
2020-05-15,13:42,"2.6 ",,,bst,m
2020-05-16,01:53,"2.8 ",14:59,"2.6 ",bst,m
2020-05-17,03:17,"2.8 ",16:01,"2.8 ",bst,m
2020-05-18,04:18,"3.0 ",16:54,"3.1 ",bst,m
2020-05-19,05:10,"3.3 ",17:41,"3.3 ",bst,m
2020-05-20,05:57,"3.4 ",18:24,"3.5 ",bst,m
2020-05-21,06:42,"3.6 ",19:05,"3.7 ",bst,m
2020-05-22,07:24,"3.7 ",19:44,"3.8 ",bst,m
2020-05-23,08:04,"3.7 ",20:19,"3.8 ",bst,m
2020-05-24,08:39,"3.7 ",20:51,"3.8 ",bst,m
2020-05-25,09:13,"3.6 ",21:21,"3.7 ",bst,m
2020-05-26,09:45,"3.5 ",21:55,"3.6 ",bst,m
2020-05-27,10:21,"3.3 ",22:32,"3.5 ",bst,m
2020-05-28,11:04,"3.2 ",23:18,"3.4 ",bst,m
2020-05-29,11:56,"3.0 ",00:12,"3.3 ",bst,m
2020-05-30,12:58,"2.9 ",,,bst,m
2020-05-31,01:17,"3.2 ",14:12,"3.0 ",bst,m
2020-06-01,02:34,"3.3 ",15:29,"3.2 ",bst,m
2020-06-02,03:51,"3.5 ",16:36,"3.4 ",bst,m
2020-06-03,04:58,"3.7 ",17:37,"3.7 ",bst,m
2020-06-04,06:00,"3.8 ",18:32,"3.9 ",bst,m
2020-06-05,06:57,"3.9 ",19:24,"4.0 ",bst,m
2020-06-06,07:50,"4.0 ",20:11,"4.1 ",bst,m
2020-06-07,08:37,"3.9 ",20:53,"4.1 ",bst,m
2020-06-08,09:19,"3.8 ",21:31,"3.9 ",bst,m
2020-06-09,10:00,"3.6 ",22:06,"3.8 ",bst,m
2020-06-10,10:38,"3.3 ",22:39,"3.6 ",bst,m
2020-06-11,11:13,"3.1 ",23:13,"3.3 ",bst,m
2020-06-12,11:52,"2.9 ",23:54,"3.1 ",bst,m
2020-06-13,12:41,"2.7 ",00:47,"2.9 ",bst,m
2020-06-14,13:47,"2.7 ",,,bst,m
2020-06-15,01:57,"2.9 ",14:53,"2.8 ",bst,m
2020-06-16,03:09,"2.9 ",15:54,"2.9 ",bst,m
2020-06-17,04:13,"3.0 ",16:50,"3.1 ",bst,m
2020-06-18,05:10,"3.2 ",17:42,"3.3 ",bst,m
2020-06-19,06:03,"3.4 ",18:30,"3.5 ",bst,m
2020-06-20,06:53,"3.5 ",19:15,"3.7 ",bst,m
2020-06-21,07:39,"3.6 ",19:58,"3.8 ",bst,m
2020-06-22,08:22,"3.6 ",20:36,"3.8 ",bst,m
2020-06-23,09:01,"3.6 ",21:13,"3.8 ",bst,m
2020-06-24,09:41,"3.6 ",21:50,"3.8 ",bst,m
2020-06-25,10:21,"3.5 ",22:30,"3.8 ",bst,m
2020-06-26,11:03,"3.4 ",23:13,"3.7 ",bst,m
2020-06-27,11:49,"3.3 ",00:01,"3.5 ",bst,m
2020-06-28,12:41,"3.2 ",00:57,"3.4 ",bst,m
2020-06-29,13:44,"3.1 ",,,bst,m
2020-06-30,02:04,"3.3 ",14:53,"3.1 ",bst,m
2020-07-01,03:19,"3.3 ",16:05,"3.3 ",bst,m
2020-07-02,04:32,"3.4 ",17:11,"3.5 ",bst,m
2020-07-03,05:38,"3.5 ",18:11,"3.7 ",bst,m
2020-07-04,06:37,"3.6 ",19:04,"3.9 ",bst,m
2020-07-05,07:32,"3.7 ",19:53,"3.9 ",bst,m
2020-07-06,08:19,"3.7 ",20:35,"4.0 ",bst,m
2020-07-07,09:02,"3.6 ",21:13,"3.9 ",bst,m
2020-07-08,09:41,"3.5 ",21:47,"3.8 ",bst,m
2020-07-09,10:18,"3.4 ",22:20,"3.7 ",bst,m
2020-07-10,10:50,"3.2 ",22:53,"3.5 ",bst,m
2020-07-11,11:23,"3.1 ",23:28,"3.3 ",bst,m
2020-07-12,12:00,"2.9 ",00:08,"3.1 ",bst,m
2020-07-13,12:44,"2.8 ",00:56,"3.0 ",bst,m
2020-07-14,13:39,"2.8 ",,,bst,m
2020-07-15,01:55,"2.8 ",14:44,"2.8 ",bst,m
2020-07-16,03:07,"2.9 ",15:55,"2.9 ",bst,m
2020-07-17,04:21,"3.0 ",16:59,"3.1 ",bst,m
2020-07-18,05:27,"3.1 ",17:58,"3.4 ",bst,m
2020-07-19,06:26,"3.3 ",18:49,"3.6 ",bst,m
2020-07-20,07:18,"3.5 ",19:38,"3.8 ",bst,m
2020-07-21,08:07,"3.6 ",20:22,"3.9 ",bst,m
2020-07-22,08:51,"3.7 ",21:03,"4.0 ",bst,m
2020-07-23,09:34,"3.8 ",21:44,"4.1 ",bst,m
2020-07-24,10:15,"3.7 ",22:25,"4.0 ",bst,m
2020-07-25,10:56,"3.7 ",23:05,"3.9 ",bst,m
2020-07-26,11:36,"3.6 ",23:47,"3.7 ",bst,m
2020-07-27,12:20,"3.4 ",00:35,"3.5 ",bst,m
2020-07-28,13:14,"3.2 ",,,bst,m
2020-07-29,01:35,"3.2 ",14:21,"3.0 ",bst,m
2020-07-30,02:51,"3.1 ",15:38,"3.1 ",bst,m
2020-07-31,04:13,"3.1 ",16:52,"3.3 ",bst,m
2020-08-01,05:25,"3.2 ",17:55,"3.5 ",bst,m
2020-08-02,06:26,"3.4 ",18:49,"3.7 ",bst,m
2020-08-03,07:18,"3.6 ",19:36,"3.9 ",bst,m
2020-08-04,08:05,"3.6 ",20:18,"3.9 ",bst,m
2020-08-05,08:43,"3.6 ",20:53,"3.9 ",bst,m
2020-08-06,09:19,"3.6 ",21:26,"3.9 ",bst,m
2020-08-07,09:52,"3.5 ",21:58,"3.8 ",bst,m
2020-08-08,10:21,"3.4 ",22:28,"3.6 ",bst,m
2020-08-09,10:52,"3.3 ",22:59,"3.4 ",bst,m
2020-08-10,11:23,"3.1 ",23:32,"3.2 ",bst,m
2020-08-11,11:59,"3.0 ",00:08,"3.0 ",bst,m
2020-08-12,12:42,"2.8 ",00:56,"2.8 ",bst,m
2020-08-13,13:40,"2.7 ",,,bst,m
2020-08-14,02:02,"2.7 ",14:57,"2.8 ",bst,m
2020-08-15,03:33,"2.8 ",16:21,"3.0 ",bst,m
2020-08-16,04:57,"3.0 ",17:29,"3.3 ",bst,m
2020-08-17,06:02,"3.3 ",18:26,"3.6 ",bst,m
2020-08-18,06:58,"3.5 ",19:17,"3.9 ",bst,m
2020-08-19,07:49,"3.7 ",20:05,"4.1 ",bst,m
2020-08-20,08:35,"3.9 ",20:48,"4.3 ",bst,m
2020-08-21,09:18,"4.0 ",21:31,"4.3 ",bst,m
2020-08-22,09:59,"4.0 ",22:11,"4.3 ",bst,m
2020-08-23,10:38,"4.0 ",22:50,"4.1 ",bst,m
2020-08-24,11:16,"3.8 ",23:29,"3.8 ",bst,m
2020-08-25,11:56,"3.5 ",00:11,"3.5 ",bst,m
2020-08-26,12:42,"3.2 ",,,bst,m
2020-08-27,01:07,"3.1 ",13:52,"2.9 ",bst,m
2020-08-28,02:32,"2.8 ",15:19,"2.9 ",bst,m
2020-08-29,04:03,"2.8 ",16:38,"3.1 ",bst,m
2020-08-30,05:18,"3.1 ",17:43,"3.4 ",bst,m
2020-08-31,06:16,"3.3 ",18:34,"3.7 ",bst,m
2020-09-01,07:04,"3.5 ",19:18,"3.9 ",bst,m
2020-09-02,07:46,"3.7 ",19:57,"4.0 ",bst,m
2020-09-03,08:21,"3.7 ",20:30,"4.0 ",bst,m
2020-09-04,08:53,"3.7 ",21:01,"3.9 ",bst,m
2020-09-05,09:22,"3.7 ",21:31,"3.8 ",bst,m
2020-09-06,09:51,"3.6 ",22:00,"3.7 ",bst,m
2020-09-07,10:19,"3.5 ",22:28,"3.5 ",bst,m
2020-09-08,10:47,"3.3 ",22:55,"3.3 ",bst,m
2020-09-09,11:17,"3.1 ",23:26,"3.1 ",bst,m
2020-09-10,11:55,"2.9 ",00:13,"2.8 ",bst,m
2020-09-11,12:51,"2.8 ",,,bst,m
2020-09-12,01:19,"2.6 ",14:05,"2.7 ",bst,m
2020-09-13,02:49,"2.7 ",15:44,"3.0 ",bst,m
2020-09-14,04:34,"3.0 ",17:01,"3.4 ",bst,m
2020-09-15,05:41,"3.3 ",18:00,"3.7 ",bst,m
2020-09-16,06:35,"3.7 ",18:52,"4.1 ",bst,m
2020-09-17,07:25,"3.9 ",19:41,"4.3 ",bst,m
2020-09-18,08:13,"4.1 ",20:28,"4.4 ",bst,m
2020-09-19,08:56,"4.2 ",21:11,"4.5 ",bst,m
2020-09-20,09:37,"4.2 ",21:52,"4.4 ",bst,m
2020-09-21,10:16,"4.2 ",22:31,"4.2 ",bst,m
2020-09-22,10:53,"3.9 ",23:09,"3.8 ",bst,m
2020-09-23,11:30,"3.6 ",23:49,"3.4 ",bst,m
2020-09-24,12:12,"3.2 ",00:42,"2.9 ",bst,m
2020-09-25,13:21,"2.9 ",,,bst,m
2020-09-26,02:19,"2.6 ",15:00,"2.8 ",bst,m
2020-09-27,03:53,"2.7 ",16:21,"3.1 ",bst,m
2020-09-28,05:05,"3.0 ",17:24,"3.4 ",bst,m
2020-09-29,05:59,"3.3 ",18:13,"3.7 ",bst,m
2020-09-30,06:42,"3.6 ",18:53,"3.9 ",bst,m
2020-10-01,07:20,"3.8 ",19:31,"4.0 ",bst,m
2020-10-02,07:55,"3.9 ",20:05,"4.0 ",bst,m
2020-10-03,08:24,"3.9 ",20:35,"4.0 ",bst,m
2020-10-04,08:53,"3.9 ",21:04,"3.9 ",bst,m
2020-10-05,09:21,"3.8 ",21:32,"3.8 ",bst,m
2020-10-06,09:48,"3.7 ",21:59,"3.6 ",bst,m
2020-10-07,10:14,"3.5 ",22:23,"3.3 ",bst,m
2020-10-08,10:41,"3.3 ",22:56,"3.1 ",bst,m
2020-10-09,11:21,"3.1 ",23:46,"2.8 ",bst,m
2020-10-10,12:19,"2.9 ",00:53,"2.7 ",bst,m
2020-10-11,13:31,"2.8 ",,,bst,m
2020-10-12,02:19,"2.7 ",15:04,"3.0 ",bst,m
2020-10-13,04:07,"3.0 ",16:29,"3.4 ",bst,m
2020-10-14,05:13,"3.4 ",17:30,"3.8 ",bst,m
2020-10-15,06:08,"3.8 ",18:25,"4.2 ",bst,m
2020-10-16,06:58,"4.1 ",19:15,"4.4 ",bst,m
2020-10-17,07:47,"4.3 ",20:04,"4.5 ",bst,m
2020-10-18,08:31,"4.4 ",20:49,"4.5 ",bst,m
2020-10-19,09:13,"4.4 ",21:31,"4.3 ",bst,m
2020-10-20,09:53,"4.2 ",22:12,"4.1 ",bst,m
2020-10-21,10:30,"4.0 ",22:51,"3.7 ",bst,m
2020-10-22,11:06,"3.7 ",23:31,"3.3 ",bst,m
2020-10-23,11:46,"3.3 ",00:23,"2.9 ",bst,m
2020-10-24,12:47,"3.0 ",,,bst,m
2020-10-25,01:00,"2.6 ",13:31,"2.9 ",gmt,m
2020-10-26,02:26,"2.7 ",14:50,"3.0 ",gmt,m
2020-10-27,03:34,"3.0 ",15:51,"3.3 ",gmt,m
