date,hw1_time,hw1_height,hw2_time,hw2_height,time_reference,height_units
2021-01-01,07:59,"3.9 ",20:21,"3.6 ",gmt,m
2021-01-02,08:36,"3.9 ",20:58,"3.6 ",gmt,m
2021-01-03,09:12,"3.8 ",21:36,"3.5 ",gmt,m
2021-01-04,09:51,"3.8 ",22:17,"3.4 ",gmt,m
2021-01-05,10:33,"3.6 ",23:02,"3.2 ",gmt,m
2021-01-06,11:21,"3.5 ",23:56,"3.1 ",gmt,m
2021-01-07,12:19,"3.3 ",,,gmt,m
2021-01-08,01:01,"3.1 ",13:29,"3.3 ",gmt,m
2021-01-09,02:17,"3.2 ",14:49,"3.3 ",gmt,m
2021-01-10,03:33,"3.3 ",16:05,"3.4 ",gmt,m
2021-01-11,04:41,"3.6 ",17:11,"3.6 ",gmt,m
2021-01-12,05:41,"3.8 ",18:08,"3.8 ",gmt,m
2021-01-13,06:34,"4.0 ",19:01,"3.8 ",gmt,m
2021-01-14,07:20,"4.1 ",19:46,"3.8 ",gmt,m
2021-01-15,08:02,"4.1 ",20:27,"3.7 ",gmt,m
2021-01-16,08:41,"4.0 ",21:05,"3.6 ",gmt,m
2021-01-17,09:17,"3.9 ",21:39,"3.5 ",gmt,m
2021-01-18,09:48,"3.7 ",22:09,"3.3 ",gmt,m
2021-01-19,10:19,"3.5 ",22:40,"3.1 ",gmt,m
2021-01-20,10:54,"3.3 ",23:19,"3.0 ",gmt,m
2021-01-21,11:36,"3.1 ",,,gmt,m
2021-01-22,00:06,"2.8 ",12:29,"2.9 ",gmt,m
2021-01-23,01:08,"2.7 ",13:38,"2.8 ",gmt,m
2021-01-24,02:26,"2.8 ",15:01,"2.8 ",gmt,m
2021-01-25,03:41,"3.0 ",16:13,"3.0 ",gmt,m
2021-01-26,04:43,"3.3 ",17:13,"3.3 ",gmt,m
2021-01-27,05:37,"3.5 ",18:05,"3.5 ",gmt,m
2021-01-28,06:25,"3.8 ",18:52,"3.6 ",gmt,m
2021-01-29,07:10,"3.9 ",19:34,"3.7 ",gmt,m
2021-01-30,07:50,"4.0 ",20:14,"3.8 ",gmt,m
2021-01-31,08:28,"4.1 ",20:51,"3.8 ",gmt,m
2021-02-01,09:05,"4.1 ",21:27,"3.7 ",gmt,m
2021-02-02,09:41,"4.0 ",22:03,"3.6 ",gmt,m
2021-02-03,10:19,"3.8 ",22:42,"3.5 ",gmt,m
2021-02-04,11:00,"3.6 ",23:27,"3.3 ",gmt,m
2021-02-05,11:51,"3.3 ",,,gmt,m
2021-02-06,00:26,"3.0 ",13:00,"3.0 ",gmt,m
